epoch,category_prediction_acc,category_prediction_categorical_accuracy,category_prediction_loss,loss,word_prediction_acc,word_prediction_categorical_accuracy,word_prediction_loss
0,0.9657175763123879,0.5457225005335726,0.12863945278854438,4.356676384081291,0.2650013243586916,0.2650013243586916,4.228036930677839
1,0.9670339725098765,0.5449953593602047,0.11722545779549194,3.785271272074711,0.31636867995553686,0.31636867995553686,3.6680458141190915
2,0.967438684519611,0.5501104709054327,0.11462493680333075,3.682144864327003,0.3251977386123813,0.3251977386123813,3.5675199266636177
3,0.9676508776536562,0.5527227596626413,0.11343606828843858,3.6343765831940944,0.32922016442173446,0.32922016442173446,3.520940515657534
4,0.9677847221360543,0.5539819772361122,0.11274684521771264,3.606162919510402,0.331521641601779,0.331521641601779,3.493416074695984
5,0.9678852382782956,0.5553558649002097,0.11226481883455876,3.5874979536351677,0.3329398540122377,0.3329398540122377,3.47523313502102
6,0.9679754398531601,0.5563358545199549,0.11188168189605667,3.5734292145136672,0.33426187992900214,0.33426187992900214,3.461547532285975
7,0.9680405746054517,0.5572752878949907,0.11158504632822762,3.5628460547533343,0.3349303401628136,0.3349303401628136,3.451261008619082
8,0.968091397207167,0.5576379612191026,0.11134036569183621,3.554428943155858,0.33551948243081026,0.33551948243081026,3.4430885778577918
9,0.9681347532408504,0.5584009928749882,0.11112420707390629,3.5473892053373146,0.33619996597605806,0.33619996597605806,3.4362649984179092
