epoch,category_prediction_acc,category_prediction_categorical_accuracy,category_prediction_loss,loss,word_prediction_acc,word_prediction_categorical_accuracy,word_prediction_loss
0,0.9652535545071979,0.5516246903551203,0.1336160909744039,4.732309521765127,0.22330340306366955,0.22330340306366955,4.598693429151873
1,0.966054792599152,0.5390285666706472,0.12553610801177797,4.232748442913918,0.264648162012915,0.264648162012915,4.107212335747889
2,0.9661936212851931,0.536239696740037,0.12337557209237612,4.130048570871591,0.2727556425221607,0.2727556425221607,4.006672999287264
3,0.9662933503330844,0.5357131833644411,0.12203173892249071,4.076767474103007,0.2772773049406334,0.2772773049406334,3.954735735437449
4,0.9663477488421569,0.5358280329071371,0.12121901678117498,4.043626087443009,0.28023234780463646,0.28023234780463646,3.9224070704523326
5,0.9663877604733825,0.5360410429202062,0.12067134972374452,4.020786287997598,0.28246455635413725,0.28246455635413725,3.900114939174014
6,0.9664205984156994,0.5360509128033221,0.12021876390137172,4.003758754864103,0.2841332843312037,0.2841332843312037,3.883539990413792
7,0.966447167635851,0.536881059658757,0.119858422131594,3.990213184109866,0.28541708688471834,0.28541708688471834,3.870354762244634
8,0.9664705078382593,0.5371495204680355,0.11955980720080744,3.978927874629524,0.28640730529268105,0.28640730529268105,3.8593680684543004
9,0.9664929376111622,0.5375152444831897,0.11931461170935748,3.9704603974932597,0.28742372375232883,0.28742372375232883,3.851145785330726
