epoch,category_prediction_acc,category_prediction_categorical_accuracy,category_prediction_loss,loss,word_prediction_acc,word_prediction_categorical_accuracy,word_prediction_loss
0,0.9661204274109016,0.5468126739349775,0.1253295564057602,4.267558582321471,0.27466340111116316,0.27466340111116316,4.14222902704694
1,0.9674606156724644,0.5510841796905106,0.1146583082391294,3.7074157331182964,0.32452766330733496,0.32452766330733496,3.592757425128244
2,0.9678324860615026,0.5550606656826954,0.1126989808727652,3.6166568134309096,0.33193743283982796,0.33193743283982796,3.5039578334582937
3,0.9680384455306397,0.5569513762917275,0.11174605320131181,3.57305255738635,0.33572423763221226,0.33572423763221226,3.461306503673359
4,0.9681524272530306,0.557110909487127,0.11122644757551603,3.546905783426717,0.3377525882424767,0.3377525882424767,3.435679335554189
5,0.9682121192904012,0.5578951165257146,0.11087992573080482,3.528794781605187,0.3394367491260751,0.3394367491260751,3.417914855907075
6,0.9682665359208,0.5578044930571906,0.11064699661707122,3.5159315947302208,0.3405586856043779,0.3405586856043779,3.4052845980169533
7,0.9683091109636829,0.5585856494054632,0.11046200143089886,3.50585079183771,0.3412931843254717,0.3412931843254717,3.3953887900747266
8,0.968332119651405,0.5586647879193368,0.11031900692871767,3.498079980930191,0.3418211333211103,0.3418211333211103,3.387760973656826
9,0.9683526979273666,0.558601082314113,0.11020200000492687,3.4918002626276823,0.3423803070357486,0.3423803070357486,3.3815982632841544
